Waiting_Time_Type,Teta,Mu,Lambda,Analysis_type,PB,PD
Constant,2,1,2.2,Statistical,0.0004297377924953203,0.5756855026661326
Exponential,2,1,2.2,Simulation,0.00013,0.603863
Exponential,2,1,2.2,Statistical,0.00015376296678040426,0.603160366597791
Constant,2,1,2.3,Simulation,0.000781,0.591105
Constant,2,1,2.3,Statistical,0.000628661384146667,0.5897555424089707
Exponential,2,1,2.3,Simulation,0.000198,0.614133
Exponential,2,1,2.3,Statistical,0.0002320872341617879,0.6139866256435293
Constant,2,1,2.4,Simulation,0.001078,0.605783
Constant,2,1,2.4,Statistical,0.0008974462208119451,0.6030961378521112
Exponential,2,1,2.4,Simulation,0.000331,0.624675
Exponential,2,1,2.4,Statistical,0.0003417147238048507,0.6244809043480574
Constant,2,1,2.5,Simulation,0.001423,0.617103
Constant,2,1,2.5,Statistical,0.0012526615851570127,0.6157097244856863
Exponential,2,1,2.5,Simulation,0.000471,0.633533
Exponential,2,1,2.5,Statistical,0.0004917269382795951,0.6346256683876502
Constant,2,1,2.6,Simulation,0.001952,0.628629
Constant,2,1,2.6,Statistical,0.001712587416713161,0.6275995072862494
Exponential,2,1,2.6,Simulation,0.000651,0.643997
Exponential,2,1,2.6,Statistical,0.0006927456338393364,0.6444043346754186
Constant,2,1,2.7,Simulation,0.002636,0.640117
Constant,2,1,2.7,Statistical,0.0022969128234477847,0.6387691046561379
Exponential,2,1,2.7,Simulation,0.000937,0.653723
Exponential,2,1,2.7,Statistical,0.0009569199858784931,0.6538011248557795
Constant,2,1,2.8,Simulation,0.00349,0.650024
Constant,2,1,2.8,Statistical,0.003026349563082381,0.6492223585420481
Exponential,2,1,2.8,Simulation,0.001286,0.663217
Exponential,2,1,2.8,Statistical,0.0012978503035472905,0.6628009599338827
Constant,2,1,2.9,Simulation,0.004532,0.660707
Constant,2,1,2.9,Statistical,0.003922177017200123,0.6589632933165172
Exponential,2,1,2.9,Simulation,0.001618,0.671688
Exponential,2,1,2.9,Statistical,0.0017304458824774396,0.6713894057392836
Constant,2,1,3.0,Simulation,0.00578,0.668873
Constant,2,1,3.0,Statistical,0.0050057397857526924,0.6679961987338703
Exponential,2,1,3.0,Simulation,0.002313,0.680893
Exponential,2,1,3.0,Statistical,0.0022707185547141163,0.6795526743283085
Constant,2,1,3.1,Simulation,0.006892,0.676014
Constant,2,1,3.1,Statistical,0.006297921958363488,0.6763258075208535
Exponential,2,1,3.1,Simulation,0.002855,0.688309
Exponential,2,1,3.1,Statistical,0.0029355174891240944,0.6872776816392657
Constant,2,1,3.2,Simulation,0.008647,0.683839
Constant,2,1,3.2,Statistical,0.007818623190332597,0.6839575359782321
Exponential,2,1,3.2,Simulation,0.0038,0.694364
Exponential,2,1,3.2,Statistical,0.0037422144828742074,0.6945521571362168
Constant,2,1,3.3,Simulation,0.010716,0.690245
Constant,2,1,3.3,Statistical,0.009586260932529077,0.6908977562046972
Exponential,2,1,3.3,Simulation,0.004872,0.70052
Exponential,2,1,3.3,Statistical,0.004708352065234432,0.7013647971764776
Constant,2,1,3.4,Simulation,0.012447,0.696447
Constant,2,1,3.4,Statistical,0.011617320717090922,0.697154070891745
Exponential,2,1,3.4,Simulation,0.005875,0.707628
Exponential,2,1,3.4,Statistical,0.005851268969764215,0.7077054507066377
Constant,2,1,3.5,Simulation,0.015097,0.702171
Constant,2,1,3.5,Statistical,0.013925972608223258,0.702735565633904
Exponential,2,1,3.5,Simulation,0.007163,0.713527
Exponential,2,1,3.5,Statistical,0.007187718763465114,0.713565323827006
Constant,2,1,3.6,Simulation,0.017904,0.706614
Constant,2,1,3.6,Statistical,0.016523767207287748,0.7076530188328063
Exponential,2,1,3.6,Simulation,0.008921,0.718746
Exponential,2,1,3.6,Statistical,0.008733497590374025,0.7189371888516548
Constant,2,1,3.7,Simulation,0.020847,0.711484
Constant,2,1,3.7,Statistical,0.019419419413189885,0.7119190550043143
Exponential,2,1,3.7,Simulation,0.010617,0.722884
Exponential,2,1,3.7,Statistical,0.010503096127355078,0.7238155837090388
Constant,2,1,3.8,Simulation,0.023849,0.713397
Constant,2,1,3.8,Statistical,0.022618682931568757,0.7155482331131162
Exponential,2,1,3.8,Simulation,0.012354,0.727736
Exponential,2,1,3.8,Statistical,0.01250938908357739,0.7281969887581835
Constant,2,1,3.9,Simulation,0.027539,0.717623
Constant,2,1,3.9,Statistical,0.02612431369332648,0.7185570670184601
Exponential,2,1,3.9,Simulation,0.014185,0.731502
Exponential,2,1,3.9,Statistical,0.014763373093147972,0.7320799701435645
Constant,2,1,4.0,Simulation,0.031751,0.719857
Constant,2,1,4.0,Statistical,0.029936116191738037,0.7209639798786437
